grid_id,yearsdisturbed,land_ha,forestcover
682,31,155798.55,0.22375201823123514
701,31,215273.88,0.6380754135150999
702,31,216535.13999999998,0.5087292067236755
703,31,216535.05,0.23217031145766007
704,31,216448.65,0.1754988076848712
705,31,216535.13999999998,0.048601257052319546
706,31,216535.05,0.04375079230821985
707,31,216448.65,0.03756239643906303
708,31,216535.13999999998,0.2743710789851476
709,31,216535.05,0.13390289470457553
710,31,216448.65,0.32306687983500937
711,31,216535.13999999998,0.11477605898054238
712,31,216535.05,0.05231457909470083
713,31,216448.65,0.3365418079530642
714,31,216535.13999999998,0.018013704380730074
715,31,216535.05,0.038589410813630404
716,31,180044.82,0.2424701249388902
756,31,191511.81,0.21175106642248331
757,31,209390.85,0.13989164282966518
758,30,152654.13,0.1559289617647423
759,29,200870.55,0.2489996169174625
760,31,216535.22999999998,0.14872314311163132
761,31,214723.53,0.1690666132398252
781,31,216535.22999999998,0.5986511756077753
782,31,216448.65,0.39956132782532944
783,31,216535.22999999998,0.039039097702484725
784,31,216535.22999999998,0.018201980342875384
785,31,216448.65,0.03867259047353726
786,31,216535.22999999998,0.006767813256069233
787,31,216535.22999999998,0.14530120572065802
788,31,216448.65,0.24378364106221037
789,31,216535.22999999998,0.22019437668410818
790,31,216535.22999999998,0.3544309163917576
791,31,216448.65,0.18378285103649294
792,31,216535.22999999998,0.23075695349897565
793,31,216535.22999999998,0.06399850038259364
794,31,216448.65,0.05581781175350366
795,31,216535.22999999998,0.13702255286587778
837,31,216359.63999999998,0.19200281531250468
838,30,216535.13999999998,0.12999751449118144
839,31,216535.31999999998,0.24964255254062018
840,31,216355.5,0.15914016514486573
841,31,216453.24,0.18962460437182646
862,31,216535.22999999998,0.5354876894628187
863,31,216535.22999999998,0.31149356157887104
864,31,216448.74,0.012021691602362758
865,31,216535.22999999998,0.06488754739817627
866,31,216535.22999999998,0.1866587252337645
867,31,216448.74,0.07093762707974183
868,31,216535.22999999998,0.2558676479573324
869,31,216535.22999999998,0.022988453195353014
870,31,216448.74,0.2171613473009822
871,31,216535.22999999998,0.16610756596051368
872,31,216535.22999999998,0.20123926254402114
873,31,216448.74,0.24323800637508908
874,31,216535.22999999998,0.07921662447260891
875,31,216535.22999999998,0.08725961128819545
876,31,173549.16,0.3350339465774424
916,31,184091.85,0.3587795440156639
917,30,216535.31999999998,0.24466281066756224
918,31,216448.65,0.07088152316958318
919,30,216535.13999999998,0.14754279605610432
920,31,216535.31999999998,0.10475538124680998
921,31,125101.26,0.18902831194505956
941,31,138354.47999999998,0.5236457829193533
942,31,216448.74,0.41775794121046855
943,31,216535.05,0.08495996375644496
944,31,216535.05,0.03344839553688883
945,31,216448.74,0.07701001170069183
946,31,216535.05,0.16269657037047813
947,31,216535.05,0.27523073054454694
948,31,216448.74,0.03873827124149579
949,31,216535.05,0.015964205333039615
950,31,216535.05,0.09549844239997174
951,31,216448.74,0.013926484395335358
952,31,216535.05,0.22470339097527167
953,31,216535.05,0.03178460022984732
954,31,216448.74,0.06318290418322602
955,31,216535.05,0.3470216484582981
995,31,179470.71,0.19399193327980926
996,31,214827.75,0.3002972381361346
997,31,216456.39,0.22619332235929832
998,30,216535.22999999998,0.10788558517706334
999,30,216535.22999999998,0.09935713463347282
1000,30,216448.56,0.10417740824886984
1001,31,212223.06,0.1302474858292968
1022,31,213650.1,0.5560371373568278
1023,31,216535.13999999998,0.28860747498073525
1024,31,216448.74,0.03549791973841012
1025,31,216535.22999999998,0.09316539391765488
1026,31,216535.13999999998,0.11387121739224405
1027,31,216448.74,0.35214425364638297
1028,31,216535.22999999998,0.04758666753673294
1029,31,216535.13999999998,0.022134744503825108
1030,27,216448.74,0.0024869167637566287
1031,27,216535.22999999998,0.003093584355765111
1032,31,216535.13999999998,0.017780532065141946
1033,31,216448.74,0.20358247407677219
1034,31,216535.22999999998,0.20316864835343423
1035,31,216535.13999999998,0.10661793739344108
1036,31,213915.96,0.16353029479427342
1075,31,199269,0.16256221489544284
1076,29,216547.28999999998,0.11705590958907867
1077,30,216529.2,0.11277952350075646
1078,30,216448.65,0.06089185587436096
1079,31,216294.47999999998,0.17199093569100793
1080,31,171301.5,0.12140541676517719
1102,31,216448.74,0.49719000443245825
1103,31,216535.13999999998,0.22099997256796286
1104,31,216535.13999999998,0.5040894517167053
1105,31,216448.74,0.3265715476098406
1106,31,216535.13999999998,0.22303202150006693
1107,31,216535.13999999998,0.14504731195130732
1108,31,216448.74,0.10809917396608547
1109,31,216535.13999999998,0.013296640905489984
1110,31,216535.13999999998,0.01673645210657263
1111,31,216448.74,0.012594252107912478
1112,31,216535.13999999998,0.24110931833050286
1113,31,216535.13999999998,0.30801771943343703
1114,31,216448.74,0.034291675710378354
1115,30,216535.13999999998,0.08202511610817534
1116,31,115031.7,0.019955716554654064
1156,30,216535.31999999998,0.11185944168369392
1157,31,216319.22999999998,0.07668583139834587
1166,31,145008.99,0.10046108175775861
1171,31,175084.02,0.22234856156489896
1182,31,136702.16999999998,0.7145662720642987
1183,31,216535.31999999998,0.48234043296031337
1184,31,216448.74,0.27985360413740457
1185,31,216535.13999999998,0.591887349092623
1186,31,216535.31999999998,0.2070447906604798
1187,31,216448.74,0.10256109598974796
1188,31,216535.13999999998,0.32023827633704166
1189,31,216535.31999999998,0.1559410261568413
1190,31,216448.74,0.11720899830601925
1191,31,216535.13999999998,0.026916231702623417
1192,30,216535.31999999998,0.02315095754355456
1193,31,216448.74,0.16850409940016284
1194,31,216535.13999999998,0.1141434595788933
1195,29,216304.65,0.030075081603654845
1236,31,134161.29,0.12610679280141088
1242,31,133973.37,0.10479089986315937
1245,31,200891.78999999998,0.10225609518437763
1250,31,202743.72,0.21758789865353168
1251,31,216443.69999999998,0.24342662780205662
1262,31,183665.34,0.7922837264777339
1263,31,216535.13999999998,0.4732986525882127
1264,31,216535.22999999998,0.1832721169668326
1265,31,216448.74,0.15846911374951872
1266,31,216535.13999999998,0.05449249484402393
1267,31,216535.22999999998,0.17649100333465367
1268,31,216448.74,0.43901502960932
1269,31,216535.13999999998,0.3291412192958612
1270,31,216535.22999999998,0.20239888908608544
1271,31,216448.74,0.021190975747883773
1272,28,216535.13999999998,0.01116192965261897
1273,31,216535.22999999998,0.0873888743185116
1274,30,216448.74,0.0764228980958725
1312,31,147272.4,0.27196582659072577
1313,31,116772.65999999999,0.41886927984684086
1314,31,114423.65999999999,0.590586247634449
1323,31,212214.50999999998,0.16336427702328177
1325,31,215353.97999999998,0.13437815265824204
1326,31,184734.99,0.16461618884435483
1330,31,115621.2,0.19736276738176045
1331,31,216535.31999999998,0.2447488474397618
1332,31,216184.05,0.2374639109592035
1343,31,216535.13999999998,0.6787463226522956
1344,31,216448.74,0.16478432722685288
1345,31,216535.05,0.04337962837886984
1346,31,216535.13999999998,0.1433565009355987
1347,31,216448.74,0.1524620101738638
1348,31,216535.05,0.049681102435841215
